Entity,Code,Year,Fossil fuels (TWh)
Iran,IRN,1995,1033.3331298828125
Iran,IRN,1996,1124.8204345703125
Iran,IRN,1997,1168.5665283203125
Iran,IRN,1998,1213.36474609375
Iran,IRN,1999,1316.2569580078125
Iran,IRN,2000,1385.279541015625
Iran,IRN,2001,1479.9329833984375
Iran,IRN,2002,1602.8935546875
Iran,IRN,2003,1628.3079833984375
Iran,IRN,2004,1797.437744140625
Iran,IRN,2005,1898.726318359375
Iran,IRN,2006,2067.248046875
Iran,IRN,2007,2202.8115234375
Iran,IRN,2008,2301.212890625
Iran,IRN,2009,2366.410400390625
Iran,IRN,2010,2394.2255859375
Iran,IRN,2011,2501.96630859375
Iran,IRN,2012,2520.96923828125
Iran,IRN,2013,2603.962890625
Iran,IRN,2014,2725.781005859375
Iran,IRN,2015,2714.8427734375
Iran,IRN,2016,2830.327392578125
Iran,IRN,2017,2944.78369140625
Iran,IRN,2018,3061.77490234375
Iran,IRN,2019,3153.681640625
Iran,IRN,2020,3258.21337890625
Iran,IRN,2021,3333.61669921875
Iraq,IRQ,1965,22.795799255371094
Iraq,IRQ,1966,25.097501754760742
Iraq,IRQ,1967,25.306926727294922
Iraq,IRQ,1968,26.839622497558594
Iraq,IRQ,1969,31.0491886138916
Iraq,IRQ,1970,38.64762878417969
Iraq,IRQ,1971,42.26763916015625
Iraq,IRQ,1972,49.61176681518555
Iraq,IRQ,1973,48.503929138183594
Iraq,IRQ,1974,47.16114807128906
Iraq,IRQ,1975,51.47600555419922
Iraq,IRQ,1976,65.08444213867188
Iraq,IRQ,1977,67.88548278808594
Iraq,IRQ,1978,66.39483642578125
Iraq,IRQ,1979,83.44488525390625
Iraq,IRQ,1980,99.32096099853516
Iraq,IRQ,1981,92.9476089477539
Iraq,IRQ,1982,96.35552215576172
Iraq,IRQ,1983,110.9421615600586
Iraq,IRQ,1984,123.08961486816406
Iraq,IRQ,1985,141.45855712890625
Iraq,IRQ,1986,163.23426818847656
